Name,Ratings,Reviews,Type,Location,Menu_price,PAX,Rooms,Amenities
Ganeshi Lal Memorial Trust,5.0,1 review,Banquet Hall,"Shahdara, Delhi NCR ",₹600per plate,150-250,,+2 more
The King's Court Banquet,4.7,3 reviews,Banquet Hall,Delhi NCR ,₹750per plate,500-650,2,+4 more
Hotel Wedlock,5.0,12 reviews,Hotel,Gurgaon ,₹800per plate,50-250,55,+4 more
Maidens Hotel,,2 reviews,4 Star Hotel,"Civil Lines, Delhi NCR ","₹2,600per plate",72-500,55,+3 more
Grand Vilas,,5 reviews,Banquet Hall & Lawn,"Noida, Noida ","₹1,800per plate",400-1000,,+2 more
Milan Vatika,,2 reviews,Banquet Hall & Lawn,"Old Gurgaon, Gurgaon ",₹800per plate,60-350,,+2 more
The Zafron,5.0,1 review,Banquet Hall & Lawn,"Chattarpur, Delhi NCR ",₹600per plate,500-1000,,+3 more
Classy Farm by GoBravo Hotels,5.0,1 review,Wedding Lawn,"Kapashera, Delhi NCR ","₹1,000per plate",100-150,3,+3 more
Blue Lagoon Wedding Complex,5.0,1 review,Hotel,"ECR East Coast Road, Chennai ",₹500per plate,1000-4000,30,+4 more
Sri Lakshmi Mahal,5.0,1 review,Convention Hall,"Adambakkam, Chennai ",₹300per plate,700-1050,,+2 more
The Soorya Residency (Formerly as Pratap Plaza),4.5,1 review,Hotel,"Kodambakkam, Chennai ",₹500per plate,150-250,30,+3 more
Vijay Hall,,,Banquet Hall,Chennai ,"₹25,000per function",120-150,,+3 more
ZAARA'S INTERNATIONAL,5.0,1 review,Banquet Hall,"Egmore, Chennai ",₹350per plate,150-250,,+2 more
St.Joseph Community Hall,5.0,1 review,Banquet Hall,"Vyasarpadi, Chennai ",₹300per plate,270-450,,+2 more
"Taj Club House, Chennai",5.0,1 review,5 Star Hotel,"Anna Salai, Chennai ","₹1,600per plate",200-250,220,+3 more
"Ramada Plaza by Wyndham, Chennai",4.8,3 reviews,5 Star Hotel,"Saidapet, Chennai ","₹1,600per plate",300-500,134,+3 more
YWCA International Guest House,,,Hotel,"Egmore, Chennai ",Price on Request,100-150,63,+3 more
Quality Inn Sabari,5.0,1 review,Banquet Hall,Chennai ,"₹1,050per plate",420-700,,+2 more
Lakshmi And Mahesh Mahal,,,Convention Hall,Chennai ,"₹1,200per plate",1000-1500,,+2 more
Pattabiram Naidu Vari Nala Sangam,,,Banquet Hall,"Pattabiram, Chennai ",₹250per plate,250-300,,+2 more
Suganya Thirumana Mandapam,,,Kalyana Mandapam,Chennai ,₹400per plate,800-1200,,+2 more
Shelter Beach Resort,5.0,1 review,Resort,Chennai ,"₹1,450per plate",75-900,38,+3 more
M.N.Mahal,,,Banquet Hall,Chennai ,₹200per plate,320-525,,+2 more
Ushodhaya CSP Gardens,5.0,2 reviews,Wedding Lawn,Chennai ,Price on Request,500-750,4,+3 more
Crescent Park Hotel,,,Banquet Hall,"Nungambakkam, Chennai ",₹600per plate,100-150,29,+3 more
Dhanabagyam Thirumana Mahal,,,Banquet Hall,"Kodungaiyur, Chennai ",₹300per plate,400-600,,+2 more
Sakthi Kalyana Mandapam,,,Kalyana Mandapam,Chennai ,₹300per plate,200-300,,+2 more
Crystal Banquet AC Party Hall,,,,Chennai ,"₹50,000per plate",300-350,2,+4 more
Khatri Lawns,,,Banquet Hall,Pune ,₹450per plate,180-300,,+2 more
Raaga Imperio,,7 reviews,Centrally Located Banquet,"Chinchwad, Pimpri Chinchwad ",₹760per plate,50-500,,+2 more
The Paraiso Kitchen Bar & Banquet,5.0,1 review,,Pimpri Chinchwad ,₹579per plate,200-500,,+3 more
Hotel Studio Estique,,,Banquet Hall,"Bund Garden Road, Pune ",₹700per plate,30-150,23,+3 more
Deccan Winds Resort,,,Wedding Lawn,Pune ,Price on Request,70-150,,+2 more
"Sai Samrat Resort, Satara",,,Wedding Lawn,Pune ,₹400per plate,150-250,,+2 more
Santorini Sunsets,,,Small Function Hall,Pune ,"₹1,000per plate",70-100,4,+3 more
Kodre Farm,5.0,1 review,Wedding Lawn,Pune ,₹450per plate,700-1000,,+2 more
The Punjabi Cultural Association,,,Banquet Hall,Pune ,Price on Request,150-200,,+2 more
Ripplees Family Lake Resort,,,Hotel,Pune ,"₹1,200per plate",700-1000,18,+3 more
Kyta Hall,,,Lawn & Banquet Hall,"Shukrawar Peth, Pune ","₹50,000per function",100-200,,+3 more
"Hotel Orchard, Shivajinagar",,,Banquet Hall,"Shivajinagar, Pune ",₹500per plate,45-300,25,+3 more
Golden Ring Resort,,,Banquet Hall,Lonavala ,₹800per plate,400-500,5,+3 more
Hotel Manik Moti,,,Small Function Hall,Lonavala ,Price on Request,40-50,17,+3 more
Mayfield Estate: International Events & Convention Center,,,Convention Hall & Lawn,Pune ,₹700per plate,700-3000,2,+4 more
Krushnpingaksh Hills,,,Lawn & Banquet Hall,"Pimpri, Pimpri Chinchwad ",Price on Request,500-2000,,+2 more
Jehangir Baugh Wedding Hall,,,Wedding Lawn,"Camp, Pune ",Price on Request,1200-1800,,+2 more
The Taman Resort,,,Wedding Lawn,Pune ,Price on Request,80-150,,+2 more
Dhankude Farms and lawns,5.0,1 review,Wedding Lawn,"Baner, Pune ",₹250per plate,2000-3000,,+2 more
Varadshree Sabhagrah,,,Banquet Hall,"Shukrawar Peth, Pune ","₹50,000per function",120-150,,+3 more
Sattva Restaurant and Banquets,,,Banquet Hall,Lucknow ,₹600per plate,50-100,,+2 more
Mishra Marriage Lawn,,1 review,Wedding Lawn,Lucknow ,₹600per plate,350-550,,+2 more
Moti Mahal Lawns,5.0,4 reviews,Wedding Lawn,"Hazratganj, Lucknow ","₹1,000per plate",1500-2000,,+3 more
Shubhkaamna Lawn,5.0,1 review,Wedding Lawn,"Gomti Nagar, Lucknow ","₹1,000per plate",350-400,4,+3 more
Ficus Garden,,,Wedding Lawn,"Gomti Nagar, Lucknow ",₹400per plate,400-600,,+2 more
Ram Bhawan,,,Banquet Hall,"Jankipuram, Lucknow ",Rental Only,140-250,,+2 more
Eatery Castle,,,Banquet Hall,"SGPGI Rae Bareilly Road, Lucknow ",₹500per plate,180-300,,+2 more
Shri Shri Nath Ji Marriage Lawns,,,Wedding Lawn,"Mahanagar, Lucknow ",₹500per plate,500-1200,,+2 more
Utkarsh Marriage Lawn,,,Wedding Lawn,"Rajajipuram, Lucknow ",₹900per plate,500-750,,+2 more
Wings of Fire,,,Banquet Hall,"Hazratganj, Lucknow ",₹600per plate,50-80,,+2 more
King's Garden,,,Lawn & Banquet Hall,"Faizabad Road, Lucknow ",₹500per plate,50-3000,6,+3 more
M Square Banquet & Lawn,,,Banquet Hall & Lawn,"Barel, Lucknow ",₹400per plate,300-400,,+2 more
JB Innovations Yash Lawn,,1 review,Lawn & Banquet Hall,"Ashiyana, Lucknow ",Price on Request,200-500,2,+3 more
The Palatial Hotel,,,Hotel,"Gomti Nagar, Lucknow ","₹1,099per plate",50-300,34,+3 more
The Great Indian Kitchen,,,Party Restaurant / Lounge,"Gomti Nagar, Lucknow ",₹700per plate,70-150,18,+3 more
Merry Mount,,,Wedding Lawn,Lucknow ,₹300per plate,600-1000,,+2 more
Tulsi Marriage Lawn,,,Wedding Lawn,"Rajajipuram, Lucknow ",₹450per plate,350-500,,+2 more
Maple Delite,,9 reviews,Hotel,"Ashiyana, Lucknow ",₹950per plate,200-750,40,+3 more
Sonwani Marriage Lawn,,,Wedding Lawn,Lucknow ,"₹1,80,000per function",1000-1500,6,+4 more
Mishra Dham,,,Small Function Hall,Lucknow ,Price on Request,50-100,5,+3 more
Hotel Shree Residency,,,Hotel,Jaipur ,₹700per plate,700-1200,40,+3 more
The Shivir,,,Wedding Lawn,"Bani Park, Jaipur ",₹450per plate,120-200,10,+3 more
Panigrahan Jagatpura,,,Banquet Hall,Jaipur ,"₹1,200per plate",150-1200,3,+3 more
Le Meridien Jaipur,4.9,23 reviews,5 Star Resort,"Kukas, Jaipur ","₹3,000per plate",30-3500,126,+3 more
Vrindavan Dham Garden,,,Wedding Lawn,"Murlipura, Jaipur ",₹700per plate,1200-1800,,+2 more
Mandana Marriage Garden,,,Wedding Lawn,"Kanakpura, Jaipur ",₹400per plate,1750-2500,,+2 more
Regenta Central Jaipur,5.0,1 review,4 Star Hotel,"Kalwar Road, Jaipur ",₹650per plate,40-500,44,+3 more
Spree Hotel Jaipur,,,,Jaipur ,₹700per plate,100-150,39,+3 more
Sai Kripa Marriage Garden,,,Wedding Lawn,"Jhotwara, Jaipur ",₹400per plate,400-600,,+3 more
Cygnett Style Ganga,,,Hotel,Jaipur ,"₹1,099per plate",160-250,44,+3 more
Chopra Royal Palace,5.0,1 review,Lawn & Banquet Hall,"Mansarovar, Jaipur ",₹750per plate,350-2000,,+3 more
The Grand Valley,,,Wedding Lawn,"Amer, Jaipur ","₹4,00,000per function",750-1000,,+3 more
Shakunt Resort,,1 review,Resort,Jaipur ,₹950per plate,100-700,45,+4 more
"The Risala, Jaipur",,,Banquet Hall & Lawn,"Vaishali Nagar, Jaipur ",₹700per plate,1500-2000,,+2 more
Grand Jhunni Banquet Hall,,,Banquet Hall,"Vidhyadhar Nagar, Jaipur ",₹550per plate,250-300,,+2 more
Vaanya Villa,,,Wedding Lawn,Jaipur ,"₹35,000per function",100-150,,+3 more
VPM Garden Banquet Hall,,,Lawn & Banquet Hall,Jaipur ,Price on Request,300-600,2,+3 more
Akh Bar,,,Banquet Hall & Lawn,"Lal Kothi, Jaipur ",₹700per plate,40-150,,+2 more
Hotel Apple 9,,,Banquet Hall,"Malviya Nagar, Jaipur ",₹300per plate,100-200,28,+3 more
Central Town,5.0,1 review,Banquet Hall & Lawn,"Durgapura, Jaipur ",₹650per plate,75-250,,+2 more
Royal Dale Hotel,,17 reviews,Banquet Hall & Lawn,"MG Road, Delhi NCR ","₹1,700per plate",40-800,15,+3 more
Get Your Venue,,2 reviews,Banquet Hall & Lawn,"Connaught Place, Delhi NCR ",₹500per plate,400-800,,+3 more
Ruby Paradise,5.0,1 review,Farmhouse With Banquet,"Janakpuri, Delhi NCR ",₹350per plate,100-2500,,+2 more
Rhythm Gurugram,5.0,9 reviews,4 Star Hotel,"Gurgaon, Gurgaon ","₹1,450per plate",30-300,103,+3 more
Vardaan by Sandoz,,21 reviews,Banquet Hall & Lawn,Delhi NCR ,"₹2,000per plate",110-550,,+3 more
Sunahari Bagh Farm,5.0,2 reviews,Farmhouse,Gurgaon ,"₹1,200per plate",290-500,4,+3 more
Symphony Greens,5.0,1 review,Farmhouse With Banquet,"Sector 15, Faridabad ","₹1,200per plate",120-500,,+2 more
Bulbul Motel & Resort,4.7,6 reviews,Banquet Hall,"Rohtak Road, Delhi NCR ","₹1,000per plate",120-900,,+2 more
Wedding Villa,4.7,3 reviews,Banquet Hall,"Ghaziabad, Ghaziabad ","₹1,600per plate",650-800,,+2 more
Apple Adventure Resort,5.0,1 review,Resort,"Sohna Road, Gurgaon ","₹1,250per plate",600-800,20,+3 more
Aurelia Heaven Banquets,,2 reviews,Banquet Hall,"Vikaspuri, Delhi NCR ",₹999per plate,100-300,17,+4 more
Vibe By The LaLiT Traveller,4.9,6 reviews,Hotel,Faridabad ,"₹1,600per plate",30-600,112,+3 more
"Ganeshwaram Hotel, Restaurant & Banquet Sector-149 Noida",5.0,2 reviews,Hotel with Banquet,"Noida, Noida ","₹2,200per plate",100-750,60,+3 more
"Pride Plaza, Aerocity- New Delhi",5.0,15 reviews,5 Star Hotel Near Airport,"Aerocity, Delhi NCR ","₹3,500per plate",50-400,385,+3 more
Mosaic Hotels,4.5,2 reviews,Hotel,"Noida, Noida ","₹1,150per plate",60-150,48,+3 more
Umang Green Farm,,1 review,Farmhouse,"Wazirpur, Delhi NCR ",₹600per plate,1500-2000,,+3 more
Malti Vatika,5.0,1 review,Farmhouse,"Sohna Road, Gurgaon ",₹500per plate,400-600,,+2 more
ExpoInn Suites & Convention,4.9,5 reviews,Hotel,"Greater Noida, Greater Noida ","₹2,800per plate",350-1200,136,+3 more
The Falcon,,8 reviews,Banquet Hall,"Patel Nagar, Delhi NCR ","₹1,800per plate",300-500,,+2 more
Tayal Farms & Resort,5.0,1 review,Banquet Hall & Lawn,Delhi NCR ,"₹1,050per plate",150-200,2,+4 more
Krishna Mahal,,,Banquet Hall,"Ambattur, Chennai ",₹450per plate,900-1200,23,+3 more
JVP Mini Hall,,,Banquet Hall,"Porur, Chennai ",₹300per plate,250-400,,+2 more
Square Space Mogappair,,,Banquet Hall,"Mogappair, Chennai ",₹350per plate,150-250,,+2 more
SR Garden,,,Wedding Lawn,"Tiruvottiyur, Chennai ",₹300per plate,220-300,,+2 more
"Regenta Central, RS, Chennai",,,4 Star Hotel,"ECR East Coast Road, Chennai ","₹1,000per plate",60-400,120,+3 more
The Malayalee Club,5.0,1 review,Banquet Hall,"Chetpet, Chennai ",Price on Request,700-800,,+2 more
Food Village Banquet Hall and Lawn,5.0,1 review,Banquet Hall & Lawn,"Injambakkam, Chennai ",₹350per plate,300-450,,+2 more
Shree Balaji Mahal,,1 review,Convention Hall,"Chromepet, Chennai ",₹250per plate,700-1000,10,+3 more
Kolping Mahal,,,Banquet Hall,Chennai ,₹350per plate,250-400,,+3 more
Aadhi Parashakthi Thirumana Mandapam,,,Kalyana Mandapam,"Perungudi, Chennai ",₹350per plate,450-700,,+2 more
K Thirugnanasambandan Ramalakshmi Mahal,,,Banquet Hall,"Adambakkam, Chennai ",₹300per plate,400-600,,+2 more
Sri Rukmani Mahal,,,Banquet Hall,"Madipakkam, Chennai ",₹600per plate,150-200,,+3 more
Front Space,,,Banquet Hall,Chennai ,"₹1,000per plate",50-350,,+2 more
Rajalakshmi Hall,,,Banquet Hall,"Kilpauk, Chennai ",₹250per plate,500-750,,+2 more
Saidai Chandru Mini Hall A/C,,,Banquet Hall,"Mambalam, Chennai ",₹650per plate,100-150,,+2 more
Nakshatra Pure Veg,,,Banquet Hall,Chennai ,₹280per plate,150-325,,+2 more
SS Mahal,,,Banquet Hall,"Poonamallee, Chennai ",₹300per plate,400-600,,+2 more
Sai Sasi Mahal,,,Banquet Hall,"Poonamallee, Avadi ",₹500per plate,150-200,,+2 more
Sri Ramachandra Mahal,,,Banquet Hall,"Pallavaram, Chennai ",₹600per plate,250-400,,+2 more
Sri Udaya Selvi Palace AC,,,Banquet Hall,Chennai ,₹300per plate,150-250,,+2 more
Santorini Sunsets,,,Small Function Hall,Pune ,"₹1,000per plate",70-100,4,+3 more
A2z Events,,,Banquet Hall & Lawn,Pune ,₹750per plate,1300-1500,2,+3 more
Icon Bliss by Bird-Of-Paradise,,,Wedding Lawn,Pune ,Price on Request,150-200,25,+3 more
"Royal Orchid Central, Pune",4.6,11 reviews,Hotel with Banquet & Lawn,"Kalyani Nagar, Pune ","₹1,100per plate",20-180,115,+3 more
Nirmal Bag Banquet Hall,,,Banquet Hall,"Kasba Peth, Pune ",₹500per plate,130-150,,+3 more
Shrikrupa Hall,,,Banquet Hall,Pune ,₹600per plate,100-150,,+2 more
Teerth Fields,,,Wedding Lawn,Pune ,"₹2,00,000per function",2000-2500,,+3 more
Jhanvi Villa,,,Wedding Lawn,Lonavala ,Price on Request,50-60,3,+3 more
Draupada Lawns,,,Wedding Lawn,Pune ,₹300per plate,1000-1500,,+2 more
Madhura Banquet and Lawns,,1 review,Banquet Hall & Lawn,"Kasba Peth, Pune ",Price on Request,400-1000,,+2 more
Teritree,,,Lawn & Banquet Hall,"Hadapsar, Pune ",₹850per plate,150-500,,+2 more
Casa Amora,,,Wedding Lawn,Lonavala ,Price on Request,100-200,19,+3 more
Sanvi Resort,5.0,1 review,Resort,Pune ,₹300per plate,45-500,14,+3 more
Shree Family Garden Restaurant And Bar,,,Banquet Hall,"Baner, Pune ",₹300per plate,190-300,,+2 more
Shalimar Banquets & Lawns,,,Lawn & Banquet Hall,Pimpri Chinchwad ,₹550per plate,350-3000,1,+3 more
Sukhakarta Lawns,,,Wedding Lawn,Pune ,₹450per plate,950-1500,,+2 more
Moonwater Farms,,,Banquet Hall & Lawn,Pune ,"₹1,000per plate",500-1050,25,+4 more
Tarsh Gastronomia,,,Banquet Hall,"Wakad, Pimpri Chinchwad ",₹699per plate,120-200,,+2 more
Pawana Farms,,,Wedding Lawn,Lonavala ,"₹1,00,000per function",400-500,,+3 more
Fames Banquet Hall,,,Banquet Hall,Pune ,₹499per plate,250-300,2,+3 more
Rama Lawn and Banquet,,,Banquet Hall & Lawn,Lucknow ,"₹80,000per function",400-1000,,+3 more
Hotel Damson Plum,4.9,7 reviews,4 Star Hotel,Lucknow ,"₹1,900per plate",500-900,88,+3 more
Dream World Resort,,2 reviews,Resort,Lucknow ,Price on Request,1000-3000,45,+3 more
Vaidik Garden,5.0,1 review,Wedding Lawn,Lucknow ,₹500per plate,500-700,,+2 more
Cappuccino Blast,,,Banquet Hall,Lucknow ,₹800per plate,80-120,,+2 more
Hotel Uday Raj Palace,,1 review,Banquet Hall,"Mahanagar, Lucknow ",₹700per plate,350-550,22,+3 more
V R S Lawn,,,Lawn & Banquet Hall,Lucknow ,₹600per plate,50-500,,+2 more
Aashiana Paradise,,2 reviews,Wedding Lawn,"LDA Colony, Lucknow ",₹700per plate,400-600,,+2 more
Shivams Little India,,,Banquet Hall,Lucknow ,Price on Request,100-200,,+2 more
The Residency Inn,,,Lawn & Banquet Hall,Lucknow ,"₹55,000per function",250-500,8,+4 more
Amba Palace,,,Wedding Lawn,"Rajajipuram, Lucknow ",₹400per plate,400-600,,+2 more
Sanskrit Celebrations,,,Resort,"Gomti Nagar, Lucknow ","₹1,000per plate",100-100,20,+3 more
Gomti Lawn,,2 reviews,Wedding Lawn,Lucknow ,"₹80,000per function",1000-1500,,+3 more
Celebration Lawn,,,Banquet Hall & Lawn,Lucknow ,₹500per plate,200-300,,+2 more
V Square Restaurant & Banquet,,,Banquet Hall,"Ashiyana, Lucknow ",Price on Request,100-150,,+2 more
Shaadyana Lawn,,1 review,Lawn & Banquet Hall,Lucknow ,Price on Request,60-1000,,+2 more
Masaya Marriage Hall,,,Banquet Hall,"Dubagga, Lucknow ",₹300per plate,500-600,,+2 more
"Tusarth Inn, Banquet Hall",,,Banquet Hall,"Gomti Nagar, Lucknow ",₹550per plate,120-200,20,+3 more
DD Hotel,,,Small Function Hall,"Alambagh, Lucknow ",₹800per plate,70-100,28,+3 more
AP Palace Marriage Hall,,7 reviews,Banquet Hall,"LDA Colony, Lucknow ",₹550per plate,150-500,,+2 more
Dera Rawatsar,,,Banquet Hall & Lawn,"Bani Park, Jaipur ",₹700per plate,50-120,20,+3 more
Kalyani Paradise,,,Lawn & Banquet Hall,"Jhotwara, Jaipur ","₹1,000per plate",200-1200,1,+4 more
Mahaveer Paradise,,,Wedding Lawn,Jaipur ,₹700per plate,400-600,,+3 more
Kailrugji Hotel,,,Lawn & Banquet Hall,Jaipur ,₹750per plate,30-250,,+2 more
Hotel O Rasuj,,,Banquet Hall,Jaipur ,₹650per plate,150-200,8,+3 more
Resort De Reverie,,,Resort,"Sanganer, Jaipur ",Price on Request,100-2500,18,+3 more
G Club,,,Banquet Hall,"Durgapura, Jaipur ",₹800per plate,150-250,,+2 more
RS Paradise Marriage Garden,5.0,1 review,Wedding Lawn,"Kanakpura, Jaipur ",₹500per plate,1250-2000,,+3 more
"Desert Resort, Mandawa",5.0,1 review,Resort,Jaipur ,"₹2,200per plate",300-1500,80,+3 more
Augusta Havens at Fable Farms,,,Farmhouse,Jaipur ,"₹2,50,000per plate",180-300,4,+4 more
Kriti Van,,,Wedding Lawn,"Sitapura, Jaipur ",₹600per plate,1500-2000,,+2 more
Ananta Casa‑Villa/FARM,,,Farmhouse,Jaipur ,"₹18,000per function",50-70,3,+4 more
Siddhartha Paradise Marriage Garden,,,Banquet Hall & Lawn,"Mansarovar, Jaipur ",₹400per plate,300-800,,+2 more
Chandra Paradise,,,Lawn & Banquet Hall,"Mansarovar, Jaipur ",₹500per plate,120-1500,,+2 more
Nirwana Hometel Jaipur,,,Hotel,"Hasanpura, Jaipur ",Price on Request,200-300,60,+3 more
Hotel 28 Keys,,,Banquet Hall,"Malviya Nagar, Jaipur ",₹500per plate,180-300,12,+3 more
Anand Bagh Garden,,,Wedding Lawn,"Jagatpura, Jaipur ",₹550per plate,2000-3000,,+2 more
Artisana Farm,,,Wedding Lawn,Jaipur ,Price on Request,400-500,,+2 more
The Ambition Farms,,,Farmhouse,Jaipur ,"₹70,000per function",150-200,5,+4 more
Logan Berry Sky Lounge,,,Party Restaurant / Lounge,"Vaishali Nagar, Jaipur ",₹650per plate,40-100,,+2 more
Hotel Samrat Kaushambi,5.0,1 review,Banquet Hall,"Kaushambi, Ghaziabad ",₹650per plate,50-110,21,+3 more
Raj Villas Aryan Garden,5.0,1 review,Farmhouse With Banquet,"Najafgarh Road, Delhi NCR ",₹950per plate,200-1000,,+2 more
Hotel Sunshine Inn,4.5,2 reviews,Hotel,"Kaushambi, Ghaziabad ","₹1,100per plate",40-250,30,+3 more
Vasundhara Farms,5.0,2 reviews,Farmhouse With Banquet,"Vasundhara, Ghaziabad ",₹900per plate,150-450,,+2 more
Balsons Farm House,5.0,1 review,Farmhouse,"Brijwasan, Delhi NCR ","₹1,500per plate",800-1200,,+2 more
Devansh Greens Garden Hall,5.0,1 review,Farmhouse With Banquet,"Sector 15, Faridabad ",Price on Request,1300-1400,,+2 more
Kaushambi Banquet and Conference Hall,5.0,1 review,Banquet Hall & Lawn,"Kaushambi, Ghaziabad ","₹1,800per plate",280-500,,+2 more
Haveli Dharampura,5.0,2 reviews,Hotel,"Civil Lines, Delhi NCR ","₹4,000per plate",100-150,14,+3 more
The Dwelling Inn,5.0,3 reviews,Hotel with Banquet,"Greater Noida, Noida ","₹1,200per plate",30-225,30,+3 more
Manjeet Farm,5.0,1 review,Wedding Lawn,"South Delhi, Delhi NCR ",Price on Request,150-200,10,+3 more
Royal Arches,5.0,2 reviews,Banquet Hall & Lawn,"North Delhi, Delhi NCR ",Rental Only,300-2500,,+2 more
Farm No. 58,5.0,1 review,Farmhouse,"Ghitorni, Delhi NCR ",Price on Request,400-600,,+2 more
Star Banquets,5.0,1 review,Banquet Hall,Gurgaon ,"₹1,300per plate",50-400,,+2 more
Jaypee Siddharth,,15 reviews,4 Star Hotel,Delhi NCR ,"₹3,000per plate",35-250,102,+3 more
Crystal Hall by GNH,5.0,2 reviews,Banquet Hall & Lawn,"Gurgaon, Gurgaon ","₹3,500per plate",100-300,12,+3 more
Lavanya Orchid Banquet,,2 reviews,Banquet Hall,"Patel Nagar, Delhi NCR ","₹1,500per plate",160-350,,+2 more
The Manglam Garden,,2 reviews,Farmhouse With Banquet,"New Industrial Town, Faridabad ",₹700per plate,200-400,,+3 more
The Stellar Gymkhana,4.9,39 reviews,4 Star Hotel,"Greater Noida, Noida ","₹2,750per plate",80-2500,70,+6 more
NDMC Barat Ghar,4.8,3 reviews,Party Restaurant / Lounge,"New Delhi, Delhi NCR ",₹750per plate,400-600,,+3 more
"Volga Palace, Ghaziabad",5.0,4 reviews,Banquet Hall,"Ghaziabad, Ghaziabad ","₹1,500per plate",120-500,8,+3 more
Veera Mahal,,,Banquet Hall,"Vyasarpadi, Chennai ",₹300per plate,250-400,,+2 more
Celebrity Inn,,,Hotel,"Nungambakkam, Chennai ",Price on Request,200-300,35,+3 more
RPR Residency,,1 review,Hotel,"Mylapore, Chennai ",₹350per plate,200-550,60,+3 more
Adityas Subha Mangala Mahal,,,Convention Hall,"Adambakkam, Chennai ",₹400per plate,700-1050,14,+3 more
Maha Periyava Utsav Sthala - MPUS Banquet Hall,,,Banquet Hall,Chennai ,"₹60,000per function",250-300,4,+4 more
Arularasan Palace,,,Convention Hall,"Redhills, Chennai ",₹400per plate,800-1200,,+2 more
AV Party Hall,5.0,1 review,Banquet Hall,"Thirumullaivoyal, Chennai ",₹300per plate,150-250,,+2 more
Big Bang Theory Bar and Kitchen,,,Party Restaurant / Lounge,"Kodambakkam, Chennai ",₹600per plate,60-100,,+2 more
Shakthi Palace,,,Convention Hall,Chennai ,"₹1,60,000per function",800-1000,8,+4 more
Jayam Mahal,,,Banquet Hall,Chennai ,₹180per plate,550-800,,+2 more
VSR Mahal,,,Banquet Hall,Chennai ,₹600per plate,150-200,,+3 more
Sri SAK Jai Maruthi Mahal,,,Banquet Hall,Chennai ,₹300per plate,500-750,,+2 more
Pandian Thirumana Hall,,,Banquet Hall,"West Mambalam, Chennai ",₹200per plate,120-200,,+2 more
RR Mahal,,,Banquet Hall,"Kodungaiyur, Chennai ",₹400per plate,180-300,,+2 more
Diya Kalyana Mandapam,,,Kalyana Mandapam,Chennai ,₹550per plate,150-200,,+3 more
SPM Hotel,,,Banquet Hall,Chennai ,₹500per plate,150-200,15,+3 more
Adithi Hall,,,Banquet Hall,"Pallavaram, Chennai ",₹300per plate,200-300,,+2 more
Sri Kumaran Elite Hall A/C,,,Banquet Hall,Chennai ,₹500per plate,150-200,2,+3 more
Shree Neelambal Mahal,5.0,1 review,Convention Hall,"Pallikaranai, Chennai ",₹250per plate,1000-1500,13,+3 more
KVNS Kamaraj Mini Hall,,,Banquet Hall,"Koyambedu, Chennai ",₹300per plate,100-150,,+2 more
Pushkaraj Garden,,,Banquet Hall,"Satara Road, Pune ",₹500per plate,250-350,,+2 more
Harshwardhan Lawns,,,Lawn & Banquet Hall,Pune ,"₹60,000per function",200-800,,+3 more
Kyros Lounge Bar,,,Party Restaurant / Lounge,Pune ,"₹1,200per plate",100-150,,+2 more
Dnyandeep Mangal Karyalay,,,Wedding Lawn,Pune ,Price on Request,600-700,,+2 more
E - Square The Fern Hotel Pune,5.0,2 reviews,Hotel,"Shivajinagar, Pune ",₹950per plate,250-350,55,+3 more
Denit Banquet Hall,,,Banquet Hall,"Pimple Saudagar, Pimpri Chinchwad ",₹600per plate,60-100,,+2 more
Pingale Sanai Hall,,,Banquet Hall,"Koregaon Park, Pune ",Price on Request,250-300,,+2 more
Lonavala Farm Stay,,,Wedding Lawn,"Shukrawar Peth, Pune ",Price on Request,30-50,6,+3 more
Rutuvan Resort,,,Farmhouse,Pune ,"₹35,000per function",80-100,7,+4 more
Shree Ayyappa Hall,,,Banquet Hall,"Pimpri, Pimpri Chinchwad ",₹150per plate,200-300,,+2 more
SkyGram Stays,,,Wedding Lawn,Pune ,"₹1,35,000per plate",30-150,7,+4 more
Nakshatra Hall & Lawns,,,Banquet Hall & Lawn,Pune ,Price on Request,800-1000,,+2 more
Nakshatra Mangal Karyalaya,,,Banquet Hall,"Alandi, Pimpri Chinchwad ",₹700per plate,500-700,,+2 more
"Digambar Hall and Lawn, Kothrud",4.5,1 review,Banquet Hall & Lawn,"Kothrud, Pune ",₹400per plate,250-700,,+2 more
Srushti Lawns,5.0,1 review,Wedding Lawn,"Erandwane, Pune ",₹300per plate,200-300,,+2 more
Bizz Tamanna Hotel,5.0,4 reviews,Hotel,Pune ,₹300per plate,60-250,33,+3 more
Hotel Bhola,,,Banquet Hall,"Pimpri, Pimpri Chinchwad ",Price on Request,80-120,,+2 more
Gulmohar Lawn,,1 review,Wedding Lawn,Pune ,Price on Request,2500-3000,,+2 more
Grand Mehfil,,,Banquet Hall,Pimpri Chinchwad ,₹600per plate,225-300,2,+3 more
Villa Casa Blanca,,,Wedding Lawn,Lonavala ,"₹1,000per plate",50-60,4,+3 more
AP Palace Marriage Hall,,7 reviews,Banquet Hall,"LDA Colony, Lucknow ",₹550per plate,150-500,,+2 more
BSA East End Lawn,,,Banquet Hall,"Gomti Nagar, Lucknow ",₹800per plate,300-500,,+2 more
Mahalakshmi Banquets & Marriage Lawn,5.0,1 review,Lawn & Banquet Hall,"Indira Nagar, Lucknow ",₹700per plate,180-1000,,+2 more
