Name,Ratings,Reviews,Type,Location,Menu_price,PAX,Rooms,Amenities
"Lemon Tree Hotel, East Delhi Mall",,4 reviews,Hotel with Banquet,"Kaushambi, Ghaziabad ","₹1,600per plate",40-700,55,+5 more
EMAAR Club Beryl,4.7,53 reviews,Hotel with Banquet & Lawn,"Gurgaon, Gurgaon ","₹2,200per plate",80-500,17,+4 more
The Eliot Hotel & Banquet,5.0,12 reviews,Hotel with Banquet,Noida ,"₹1,400per plate",40-250,38,+5 more
Jannat Valley Surajkund,,7 reviews,Wedding Farmhouse,"Faridabad, Faridabad ","₹3,000per plate",50-2000,,+2 more
Masaga by Qcent,5.0,23 reviews,Hotel with Banquet,"Sector 105, Gurgaon ","₹1,300per plate",100-250,32,+5 more
Devam Green by Primerose,4.8,36 reviews,Farmhouse with Banquet,"Bandhwari, Gurgaon ","₹1,500per plate",600-1000,2,+7 more
The Royal Casa,5.0,3 reviews,Farmhouse with Banquet,Faridabad ,"₹1,500per plate",300-2000,2,+4 more
Hilltop Greens,4.8,12 reviews,,"Sohna Road, Gurgaon ","₹1,500per plate",1000-3000,4,+3 more
Eden Garden by Capital,,10 reviews,Farmhouse,"Ankheer, Faridabad ",₹900per plate,400-700,2,+4 more
"SK Premium Park, World Square Mall",5.0,2 reviews,Hotel with Banquet & Lawn,Ghaziabad ,"₹2,000per plate",100-1000,65,+4 more
Saffron Banquet Hall Noida by City Stay,4.9,9 reviews,Banquet Hall,Noida ,₹999per plate,50-200,3,+5 more
Hilton Chennai,4.9,5 reviews,5 Star Hotel,Chennai ,"₹2,300per plate",840-1400,204,+3 more
The Westin Chennai Velachery,4.5,2 reviews,5 Star Hotel,"Velachery, Chennai ","₹2,000per plate",360-600,215,+3 more
Savera Hotel,,7 reviews,Banquet Hall,"Mylapore, Chennai ","₹1,300per plate",270-450,,+2 more
Trinity Hall,5.0,1 review,Banquet Hall & Lawn,"Vettuvankeni, Chennai ",₹200per plate,100-150,,+2 more
Sheraton Grand Chennai Resort & Spa,5.0,5 reviews,Resort,"Vadanemmeli, Chennai ","₹3,400per plate",1200-2000,150,+4 more
